GAMESTATE,HASHCODE
1606,-848486107
1607,-848486106
1608,-1726942719
1609,426172738
1610,-848486104
1611,426172738
1612,-1726942717
1613,-2081563255
1614,-1342004066
1615,-1726955037
1616,-1726955037
1617,426160420
1618,-848498422
1619,1304617035
1620,-1726955035
1621,1304617035
1622,426160422
1623,-1726955034
1624,426160422
1625,426160423
1626,-848498419
1627,-848498418
1628,-848498417
1629,-1726955030
1630,-848498415
1631,-848498414
1632,-1726955027
1633,426160430
1634,-1726955026
1635,426160431
1636,-848498411
1637,-1726955024
1638,426160433
1639,-848498409
1640,-1726955022
1641,426160435
1642,-848498407
1643,426160435
1644,-1726955020
1645,426160437
1646,-848496896
1647,426160437
1648,-1726953509
1649,-1726951999
1650,426163458
1651,-1726951998
1652,426163459
1653,-1726951997
1654,426163459
1655,426163460
1656,-1726951996
1657,426163461
1658,-848495381
1659,426163461
1660,-848495380
1661,-1726951993
1662,-848495378
1663,-848495377
1664,-848495376
1665,1304620081
1666,-848495375
1667,1304620081
1668,-848495374
1669,-848495373
1670,-848495372
1671,-1726951985
1672,426163472
1673,-1726951984
1674,426163472
1675,426163473
1676,-848495348
1677,-848495347
1678,-1726951961
1679,426163496
1680,-1726951960
1681,-1726951959
1682,426163498
1683,-848495344
1684,-1726951936
1685,426163521
1686,-848495321
1687,426163521
1688,-1726951935
1689,-1726951935
1690,-1726951934
1691,-848495319
1692,-848495318
1693,-848495317
1694,-848498420
1695,-1726955030
1696,426160427
1697,-848498415
1698,426160427
1699,-1726955028
1700,-848498413
1701,-1726955026
1702,426160431
1703,-848498411
1704,-848498408
1705,-848498407
1706,-848496897
1707,426161948
1708,426161948
1709,426161953
1710,426161953
1711,-1726951993
1712,426163464
1713,-1726951992
1714,-1726951991
1715,426163466
1716,-1726951990
1717,426163467
1718,-1726951989
1719,426163467
1720,426163468
1721,-848495374
1722,426163468
1723,-848495373
1724,-848495372
1725,-1726951985
1726,426163472
1727,-848495349
1728,426163472
1729,-1726951962
1730,426163495
1731,-1726951961
1732,426163496
1733,426163496
1734,-848495344
1735,-1726951957
1736,426163500
1737,-848495342
1738,426163500
1739,-1726951934
1740,426163523
1741,-848495319
1742,-1726951932
1743,426163525
1744,-1726951931
1745,426163525
1746,-848495316
1747,-1726951930
1748,-1726951930
1749,-848498422
1750,-1726955035
1751,426160422
1752,-1726955034
1753,426160422
1754,426160423
1755,-848498419
1756,426160423
1757,-848498418
1758,-848498417
1759,-848498416
1760,-848498415
1761,-848498414
1762,-1726955028
1763,-848498413
1764,-848498412
1765,-848498411
1766,-1726955024
1767,-1726955025
1768,426160432
1769,-848498410
1770,426160432
1771,-848496900
1772,-848496899
1773,-1726953512
1774,-848496897
1775,1304618560
1776,-848496896
1777,-1726953509
1778,426161948
1779,-1726953508
1780,426161949
1781,-848496893
1782,426161949
1783,-848496892
1784,-1726953506
1785,-1726953506
1786,426161951
1787,-848496891
1788,426161951
1789,-1726953505
1790,426161952
1791,-848496890
1792,426161952
1793,-848496889
1794,-1726953502
1795,426161955
1796,-848496887
1797,426161955
1798,-1726951991
1799,-848495376
1800,-848495354
1801,1304620081
1802,-848495353
1803,-1726951966
1804,426163491
1805,-848495351
1806,426163491
1807,-1726951964
1808,426163493
1809,-848495349
1810,426163493
1811,-1726951962
1812,426163495
1813,-848495347
1814,426163495
1815,-848495346
1816,811111391
1817,-848498421
1818,-848498420
1819,-848498419
1820,-1726955032
1821,-1726955031
1822,-1726955032
1823,-1726955030
1824,-1726955031
1825,-1726955029
1826,-1726955030
1827,426160428
1828,-848498414
1829,426160428
1830,-848498413
1831,-848498414
1832,-848498412
1833,-848498413
1834,-848498411
1835,-848498412
1836,-848498410
1837,-1726955023
1838,-848496899
1839,1304618558
1840,-848496898
1841,1304618558
1842,-848496897
1843,-848496896
1844,-1726953509
1845,426161948
1846,-848496894
1847,426161948
1848,-848496893
1849,-1726953506
1850,-1726951987
1851,-1726950442
1852,-848493827
1853,-848493826
1854,-1726950439
1855,-1726950438
