GAME|UUID|STARTTIME|NEXTSTATINDEX|CURRENTSTATE|OURSEASON|THEIRSEASON|TAKESTATSNOWEVENT
325|48f23ea7-e983-4fa6-9453-1bab501e43f9||231|15199|80|91|0
326|8faf8418-ffc1-4ac6-8385-c101225bf5ed||154|15258|80|91|0
327|93f89c14-617d-4fd1-b087-745151cc58f8||170|15324|71|92|0
328|1db61bb9-f102-4072-bb8c-28b996a4ac58||195|15413|71|92|0
329|76509508-81c6-4013-92c7-c6172f4e11ca||195|15500|71|92|0
330|f2e16ec3-28fb-4419-b282-e26fcc3db72e||170|15612|71|77|0
331|65316327-4a49-46f7-8009-211bb91a133f||197|15703|71|77|0
332|bb80448a-7f06-4112-9082-71369d82e40c||225|15794|71|77|0
334|45090ec0-0948-4afd-b7e4-d49bfb65aea9||220|15877|71|93|0
335|b3b436fd-4eda-4480-8732-d7540ee1e55d||210|15960|71|93|0
336|7f91a30d-375c-4160-bbd7-ecea28ea8066||218|16044|71|93|0
337|e9a70289-9fef-4747-8fce-752972237a63||247|16155|71|94|0
338|d2c3ecc2-04dc-4580-941f-05a3aac418ab||240|16243|71|94|0
339|bb0fdec2-2f6d-4802-990b-6e0276239c2f||210|16323|71|94|0
340|42ccb135-b1ec-4c4e-8348-2842328a9781||243|16403|71|94|0
341|af5506ad-b2bd-4b08-90e8-7b8685409fd8||221|16495|71|95|0
342|267839e5-2299-445c-ae50-8c8eb4e5a093||181|16557|71|95|0
343|1d18efc7-17e5-4ec2-8ccf-f9b4ffad26a8||203|16643|71|95|0
344|bb074962-f3df-42b2-b5b2-753e679e1dcf||209|16730|71|96|0
345|699c74f4-b23e-46bf-b7e1-5d587ea355f2||217|16815|71|96|0
346|d6d37287-0c7f-4929-9a48-3c23ce38fd3b||286|16911|71|96|0
347|cc63fe47-db61-4fe7-b975-d66e35f6ae48||218|16999|71|96|0
348|6094e42c-d2fb-4984-acc5-03b4d6d6e8fc||120|17048|71|96|0
349|fc9568b3-b298-4e3f-bca8-eb42bcc9614c||152|17111|71|97|0
350|ca91218e-a36d-4880-ae62-f0fa6590eb26||174|17164|71|97|0
351|36d87446-09e1-45a9-aa68-bb19db9c9af0||156|17221|71|97|0
352|c73adac5-80fa-4453-9554-12f7ce9758a1||211|17309|71|92|0
353|5ede08be-0c6a-454f-a7a6-b171062d767b||220|17379|71|92|0
354|e1c9991f-fe14-4b11-b54c-e3a313d74575||170|17446|71|92|0
355|5c7e02ba-735d-4f38-84db-c2f3b06177cd||159|17512|80|98|0
356|d9ac6480-0793-4102-bf8d-6da75a699911||140|17565|80|98|0
357|2e2d35ad-8e5e-4460-b2f6-38f998be40f4||195|17641|71|94|0
358|7fb75bcb-d280-4c29-bc4e-2b1fa8e5b8d3||240|17743|71|94|0
359|33448c8f-976c-4908-91f4-725eaa15ad0b||139|17786|71|94|0
360|2be59df2-fa60-4fca-a5f4-089bc8df3423||170|17844|71|94|0
361|62eeda0c-b4d9-4059-9c3e-e2268c8ab146||204|17924|71|78|0
362|0cee8dc8-ef11-4206-8875-7c75e6bd2cc1||210|18005|71|78|0
363|cb870bd1-c212-4c60-9a98-850f292f7eb7||191|18094|71|78|0
364|19d2e003-f14f-4602-96a4-ae3d728d4bde||209|18195|71|96|0
365|7314be50-247e-4f47-bfec-eaaa44473c40||221|18271|71|96|0
366|5f425fa1-3f68-4599-8032-a7eaa5854d53||226|18332|71|96|0
367|6054d1a9-5711-4fa8-9732-c1ded5137da3||212|18376|71|96|0
369|1dfc2379-680b-4c1c-a536-c18dfd7368eb||231|18425|71|95|0
370|ca24659a-0ccf-4a28-9267-f2e2a113ea1a||168|18478|71|95|0
371|71578906-94a2-4db2-9455-ca85630fa0d0||178|18520|71|95|0
372|416f684d-b088-4619-a742-8cf66a19b8c0||201|18560|71|95|0
373|558e43d9-7918-4e10-aee4-7de9b2a51304||130|18583|71|95|0
374|8bc75a4f-f501-4a25-aacc-ea69fc76f07f||178|18643|71|99|0
375|02ed8bed-089c-42b6-9aac-d417865b0897||167|17221|71|99|0
376|eed2789a-a7b2-4f32-8bba-de55fde91095||150|18724|71|100|0
377|07bdc551-4188-4e36-a11d-f05490be1454||148|18760|71|100|0
