EVENTGROUPINGATTRIBUTE|VALUE|NAME
244|Penn Hills|Location
244|1443067200000|Start Date
244|Penn Hills|opponent
245|Penn Hills|Location
245|1443067200000|Start Date
245|1443137107000|Start Time
246|Penn Hills|Location
246|1443067200000|Start Date
246|1443138326000|Start Time
247|Penn Hills|Location
247|1443067200000|Start Date
247|1443139744000|Start Time
248|Fox Chapel|Location
248|1443499200000|Start Date
248|Armstrong|opponent
249|Fox Chapel|Location
249|1443499200000|Start Date
249|1443568580000|Start Time
250|Fox Chapel|Location
250|1443499200000|Start Date
250|1443570027000|Start Time
251|Fox Chapel|Location
251|1443499200000|Start Date
251|1443571571000|Start Time
252|Fox Chapel|Location
252|1443499200000|Start Date
252|1443573530000|Start Time
253|Fox Chapel|Location
253|1443672000000|Start Date
253|Woodland Hillls|opponent
254|Fox Chapel|Location
254|1443672000000|Start Date
254|1443741048000|Start Time
255|Fox Chapel|Location
255|1443672000000|Start Date
255|1443742198000|Start Time
256|Fox Chapel|Location
256|1443672000000|Start Date
256|1443743128000|Start Time
257|Hampton|Location
257|1444017600000|Start Date
257|Hampton|opponent
258|Hampton|Location
258|1444017600000|Start Date
258|1444087129000|Start Time
259|Hampton|Location
259|1444017600000|Start Date
259|1444088742000|Start Time
260|Hampton|Location
260|1444017600000|Start Date
260|1444090110000|Start Time
261|Hampton|Location
261|1444017600000|Start Date
261|1444091457000|Start Time
262|Fox Chapel|Location
262|1444104000000|Start Date
262|Shaler|opponent
263|Fox Chapel|Location
263|1444104000000|Start Date
263|1444173227000|Start Time
264|Fox Chapel|Location
264|1444104000000|Start Date
264|1444174289000|Start Time
265|Fox Chapel|Location
265|1444104000000|Start Date
265|1444176048000|Start Time
266|Fox Chapel|Location
266|1444276800000|Start Date
266|Plum|opponent
267|Fox Chapel|Location
267|1444276800000|Start Date
267|1444346294000|Start Time
268|Fox Chapel|Location
268|1444276800000|Start Date
268|1444347648000|Start Time
269|Fox Chapel|Location
269|1444276800000|Start Date
269|1444349311000|Start Time
270|Fox Chapel|Location
270|1444276800000|Start Date
270|1444350904000|Start Time
271|Fox Chapel|Location
271|1444708800000|Start Date
271|Oakland Catholic|opponent
272|Fox Chapel|Location
272|1444708800000|Start Date
272|1444778901000|Start Time
273|Fox Chapel|Location
273|1444708800000|Start Date
273|1444780367000|Start Time
274|Fox Chapel|Location
274|1444708800000|Start Date
274|1444781788000|Start Time
275|Fox Chapel|Location
275|1444708800000|Start Date
275|1444783377000|Start Time
276|Fox Chapel|Location
276|1444881600000|Start Date
276|Gateway|opponent
277|Fox Chapel|Location
277|1444881600000|Start Date
277|1444952181000|Start Time
278|Fox Chapel|Location
278|1444881600000|Start Date
278|1444953629000|Start Time
279|Fox Chapel|Location
279|1444881600000|Start Date
279|1444954994000|Start Time
280|Fox Chapel|Location
280|1445227200000|Start Date
280|penn Trafford|opponent
281|Fox Chapel|Location
281|1445227200000|Start Date
281|1445297230000|Start Time
282|Fox Chapel|Location
282|1445227200000|Start Date
282|1445298735000|Start Time
283|Fox Chapel|Location
283|1445227200000|Start Date
283|1445299747000|Start Time
284|Fox Chapel|Location
284|1445313600000|Start Date
284|Penn Hill|opponent
285|Fox Chapel|Location
285|1445313600000|Start Date
285|1445383632000|Start Time
286|Fox Chapel|Location
286|1445313600000|Start Date
286|1445385152000|Start Time
287|Fox Chapel|Location
287|1445313600000|Start Date
287|1445386060000|Start Time
288|Armstrong|Location
288|1445486400000|Start Date
288|Armstrong|opponent
289|Armstrong|Location
289|1445486400000|Start Date
289|1445556654000|Start Time
290|Armstrong|Location
290|1445486400000|Start Date
290|1445558370000|Start Time
291|Armstrong|Location
291|1445486400000|Start Date
291|1445559822000|Start Time
292|Armstrong|Location
292|1445486400000|Start Date
292|1445560969000|Start Time
293|NA|Location
293|NA|Name
294|NA|Location
294|1445659200000|Start Date
294|Hempfield|opponent
295|NA|Location
295|1445659200000|Start Date
295|1445689047000|Start Time
296|NA|Location
296|1445659200000|Start Date
296|Plum|opponent
297|NA|Location
297|1445659200000|Start Date
297|1445690386000|Start Time
298|NA|Location
298|1445659200000|Start Date
298|Baldwin|opponent
299|NA|Location
299|1445659200000|Start Date
299|1445694412000|Start Time
300|NA|Location
300|1445659200000|Start Date
300|Oakland Catholic|opponent
301|NA|Location
301|1445659200000|Start Date
301|1445698394000|Start Time
302|Norwin|Location
302|1446004800000|Start Date
302|Norwin|opponent
303|Norwin|Location
303|1446004800000|Start Date
